id,symbol,image_location
442,cheese_brie,0
443,cheese_burger,0
444,cheese_grated,0
445,melted_cheese_on_toast,0
446,cheese_slices,0
447,cheese_stilton,0
448,cheetah,0
449,cheque_book,0
450,cherry,0
451,chest_female,0
452,chest_male,0
453,chest_of_drawers,0
454,chestnuts,0
455,chewing_gum,0
456,chewy_tube,0
457,chick,0
458,chicken,0
459,chicken_breast,0
460,chicken_deep_fried,0
461,chicken_house,0
462,chicken_leg,0
463,chicken_live,0
464,chicken_nuggets,0
465,chicken_pieces,0
466,chicken_run,0
467,childrens_tv,0
468,chilli_pepper,0
469,chimney,0
470,chimpanzee,0
471,chin,0
472,chinese_cabbage,0
473,chinese_food,0
474,chip_and_pin_device,0
475,chipmunk,0
476,chipmunk_2,0
477,chipmunk_3,0
478,chips,0
479,chips_packet,0
480,chisel,0
481,chocolate,0
482,chocolate_bar,0
483,chocolate_box,0
484,chocolate_chips,0
485,chocolate_egg,0
486,chocolate_log,0
487,chop,0
488,chopping_board,0
489,christian,0
490,christmas,0
491,christmas_bauble,0
492,christmas_bell,0
493,christmas_cake,0
494,christmas_day,0
495,christmas_decorations,0
496,christmas_eve,0
497,christmas_lights,0
498,christmas_pudding,0
499,christmas_sock,0
500,christmas_tree,0
501,christmas_wreath,0
502,church,0
503,cigarette,0
504,circle,0
505,circle_time,0
506,circuit,0
507,clamp,0
508,class_room,0
509,claw,0
510,clay,0
511,clean_dishes,0
512,clean_hands,0
513,clean_room,0
514,clean_shoes,0
515,clean_window,0
516,cleaner_1a,0
517,cleaner_1b,0
518,cleaner_2a,0
519,cleaner_2b,0
520,cleaner_spray,0
521,cleaning_box,0
522,climbing_rock,0
523,climbing_wall,0
524,clingfilm,0
525,clip_nails,0
526,clipboard,0
527,clock,0
528,clock_radio,0
529,close_to,0
530,closed,0
531,closed_shop,0
532,clothes_extra_large,0
533,clothes_female,0
534,clothes_generic,0
535,clothes_hanger,0
536,clothes_large,0
537,clothes_male,0
538,clothes_medium,0
539,clothes_neat,0
540,clothes_peg,0
541,clothes_small,0
542,cloudy,0
543,clover,0
544,coach,0
545,coat,0
546,coated_spoon,0
547,cockatiel,0
548,cockerel,0
549,coconut,0
550,coffee,0
551,coffee_instant,0
552,coffee_maker,0
553,coffee_table,0
554,colander,0
555,collar_1,0
556,collar_pet,0
557,colour,0
558,coloured_paper,0
559,colouring_book,0
560,comb,0
561,comb_animal,0
562,comedy_tv,0
563,comet,0
564,communication_aid,0
565,communication_aid_2,0
566,communication_aid_chat_2,0
567,communication_aid_gotalk_9p,0
568,communication_aid_listen_to_me,0
569,communication_aid_scan4,0
570,communication_aid_techspeak_32,0
571,communication_board,0
572,communication_book,0
573,communication_book_portable,0
574,communication_device,0
575,computer_1,0
576,computer_2,0
577,computer_art,0
578,computer_cable,0
579,computer_folder_open,0
580,computer_folder_open,0
581,computer_game,0
582,computer_game_2,0
583,computer_keyboard,0
584,computer_monitor,0
585,computer_mouse_1,0
586,computer_mouse_2,0
587,computer_programme,0
588,computer_speaker,0
589,concentrating_lady,0
590,concentrating_man,0
591,confused_lady,0
592,confused_man,0
593,conical_flask,0
594,connection,0
595,cook,0
596,cook_chef_1a,0
597,cook_chef_1b,0
598,cook_chef_2a,0
599,cook_chef_2b,0
600,cook_school_1a,0
601,cook_school_1b,0
602,cooker,0
603,cooking_oil,0
604,copy,0
605,corned_beef,0
606,corner_cabinet,0
607,corner_cabinet_2,0
608,cornet,0
609,cornflakes,0
610,correct,0
611,correct_thought,0
612,cot,0
613,cottage_cheese,0
614,cotton_bud,0
615,counters,0
616,country_afghanistan,0
617,country_alaska,0
618,country_albania,0
619,country_alderney,0
620,country_algeria,0
621,country_american_samoa,0
622,country_andorra,0
623,country_angola,0
624,country_anguilla,0
625,country_antartica,0
626,country_antigua_barbuda,0
627,country_argentina,0
628,country_armenia,0
629,country_aruba,0
630,country_austria,0
631,country_azerbaijan,0
632,country_bahrain,0
633,country_bangladesh,0
634,country_barbados,0
635,country_belarus,0
636,country_belgium,0
637,country_belize,0
638,country_benin,0
639,country_bermuda,0
640,country_bhutan,0
641,country_blank,0
642,country_bonaire,0
643,country_bosnia_herzegovina,0
644,country_botswana,0
645,country_bulgaria,0
646,country_burkina_faso,0
647,country_burundi,0
648,country_cambodia,0
649,country_cameroon,0
650,country_canada,0
651,country_canary_islands,0
652,country_cape_verde,0
653,country_cayman_islands,0
654,country_chad,0
655,country_chile,0
656,country_china,0
657,country_colombia,0
658,country_comoros,0
659,country_congo_brazzaville,0
660,country_congo_kinshasa,0
661,country_costa_rica,0
662,country_croatia,0
663,country_cuba,0
664,country_cyprus,0
665,country_denmark,0
666,country_djbouti,0
667,country_dominican_republic,0
668,country_ecuador,0
669,country_england,0
670,country_eritrea,0
671,country_estonia,0
672,country_ethiopia,0
673,country_falkland_islands,0
674,country_finland,0
675,country_france,0
676,country_gabon,0
677,country_georgia,0
678,country_germany,0
679,country_ghana,0
680,country_gibraltar,0
681,country_greece,0
682,country_greenland,0
683,country_grenada,0
684,country_guernsey,0
685,country_guinea,0
686,country_guinea_bissau,0
687,country_guyana,0
688,country_haiti,0
689,country_hawaii,0
690,country_honduras,0
691,country_hong_kong,0
692,country_hungary,0
693,country_iceland,0
694,country_india,0
695,country_indonesia,0
696,country_iran,0
697,country_iraq,0
698,country_ireland,0
699,country_isle_of_man,0
700,country_israel,0
701,country_italy,0
702,country_ivory_coast,0
703,country_jamaica,0
704,country_japan,0
705,country_jersey,0
706,country_jordan,0
707,country_kazakhstan,0
708,country_kenya,0
709,country_kosovo,0
710,country_kuwait,0
711,country_kyrgyzstan,0
712,country_laos,0
